,Well,Strain,Cumate,Inoculation
30,G08,Step15,20.0,M9CA
31,H08,Step15,100.0,M9CA
32,E09,Step16,0.0,M9CA
33,F09,Step16,5.0,M9CA
34,G09,Step16,20.0,M9CA
35,H09,Step16,100.0,M9CA
36,E10,MGF01,0.0,M9CA
37,F10,MGF01,5.0,M9CA
38,G10,MGF01,20.0,M9CA
39,H10,MGF01,100.0,M9CA
40,E11,MGF02,0.0,M9CA
41,F11,MGF02,5.0,M9CA
42,G11,MGF02,20.0,M9CA
43,H11,MGF02,100.0,M9CA
44,E12,DGF298,0.0,M9CA
45,F12,DGF298,5.0,M9CA
46,G12,DGF298,20.0,M9CA
47,H12,DGF298,100.0,M9CA
0,I01,W3110,0.0,M9CA
1,J01,W3110,5.0,M9CA
2,K01,W3110,20.0,M9CA
3,L01,W3110,100.0,M9CA
4,I02,Step06,0.0,M9CA
5,J02,Step06,5.0,M9CA
