Blattner	index	W3110_control	W3110_cumate	Step_06_control	Step_06_cumate	Step_07_control	Step_07_cumate	Step_11_control	Step_11_cumate	Step_12_lowOD_control	Step_12_lowOD_cumate	Step_15_control	Step_15_cumate	Step_16_control	Step_16_cumate	MGF-01_control	MGF-01_cumate	MGF-02_control	MGF-02_cumate
b3888	W3110_lambdaRed.CDS.3397	0.0019668469368382836	0.0017382202910543622	0.02929224109754251	0.02833036287654796	0.01857248890350187	0.06320338847497942	0.0014408074130607303	0.0022283850618117543	0.0	0.0011630152535744545	0.00011348676858382022	0.00032133182019269485	0.0004788700547507251	2.8487453796640277e-05	5.844994865753802e-05	0.0	2.913892757114552e-05	0.0007557857821484769
b3887	W3110_lambdaRed.CDS.3398	0.002765920915774833	0.0027801035384526374	0.0030449588997261945	0.0026703594490220515	3.16756616339442e-05	0.0	0.0029120409746562007	0.003059417906690829	0.0010186633534173114	5.224547035846476e-05	4.169271255241635e-05	4.678784563077914e-05	0.0	0.0	4.8207365102016167e-05	1.0403891764024592e-05	1.3598426841643075e-05	0.00025030850197680174
b3885	W3110_lambdaRed.CDS.3400	0.00022924833277503958	0.0005436936916932764	0.0003108274302062388	0.0009530706881366126	0.0	0.0	0.00026615948096222396	0.001172853522721834	0.00011820195874917532	6.590901993531223e-05	0.00011821810699883228	0.0	0.0	0.0	0.00019515864070361925	6.0241533572488196e-05	0.00019694910304275136	0.00024774752728757736
b3884	W3110_lambdaRed.CDS.3401	0.00087660696265251	0.001066795775526805	0.0008498575434414706	0.0006522485997934993	7.023359905541995e-05	9.499599272877446e-05	0.0008843055047240673	0.0008094476755511532	0.0010078998823518446	1.5017715348752283e-05	0.0001625275231407696	0.00013639722530971066	0.00011989979216423452	0.0001600958617577403	0.0001886171486581551	1.2441735199232506e-05	0.0004862128038910904	6.29136618604296e-05
b3878	W3110_lambdaRed.CDS.3407	0.0005955595296010281	0.001342176319765582	0.0011460452443713897	0.0014259628601511433	0.0013863363546075412	0.0005082221074083805	0.0005445337919587546	0.0002823014175819183	0.0013335043565747948	0.0005205122495770485	2.4367521768348385e-05	0.0008399450291227329	0.0	3.6761966505525e-05	0.00013364850915468333	0.00014294986309546648	0.0006176662377341734	0.0004193891784931316
b3871	W3110_lambdaRed.CDS.3414	0.33565017021771654	0.29787948725592844	0.32433898219150853	0.3029025109544017	0.28733258228855	0.2928113124617981	0.33305960257512807	0.2960324112313111	0.23778886819104808	0.2669367629976576	0.2275036721252003	0.18059696294832336	0.2978314935052921	0.3039506942930484	0.3232765410028406	0.29056415521747053	0.3056162918536487	0.24916807589171075
b3870	W3110_lambdaRed.CDS.3415	0.21921644344752125	0.2151576773416364	0.3445061567961947	0.2365875639765812	0.3424465469441849	0.23615495821657628	0.3491551737539759	0.22362686160401168	0.1494769328887239	0.18502401188542048	0.40025736467071676	0.39109691480648984	0.2823508934747854	0.2914658781277928	0.2937044575949774	0.24620361014007833	0.18860320117097315	0.18258187572899362
b3869	W3110_lambdaRed.CDS.3416	0.0003422095067264677	0.0005454779147566398	0.0006970604745923365	0.0006343515624477463	0.0005626177042520223	0.0009627187960244103	0.0007934471553748414	0.0004767286186201977	0.0005027478013356475	0.0005020073753172902	0.0008943135252459945	0.0011729984678160877	0.00131425609680402	0.0005935003149036394	0.0006279202424769066	0.0007298525375599262	0.0006507939582295698	0.0005532816141176457
b3868	W3110_lambdaRed.CDS.3417	0.006746202518340803	0.0038835550071318037	0.007616833730871989	0.0047435166590228525	0.011797836624542207	0.006977359146703409	0.008592473131097851	0.006862915935664717	0.003930706277433555	0.004213875513948647	0.007862073000829839	0.004083181763990722	0.0061702563478492805	0.0059457080880241054	0.0063219998018646485	0.005795766628247473	0.007186015302377051	0.004402238255199325
b3867	W3110_lambdaRed.CDS.3419	0.007594413469739484	0.006465451208095704	0.010627230922492112	0.009864264865803515	0.009095932050890983	0.0037620287762294203	0.008053276472368356	0.00582550148415827	0.005955419585499938	0.007364852957671014	0.01957266339960872	0.007144753701698971	0.011467962507765514	0.018745727801617835	0.010824092826197252	0.014626185981496736	0.007636986463590009	0.0064665326355617505
