$gene_or_promoter	SolutionOrder	mass reclaimed $(fg/cell)$	A14.07036	cumulativeMass
PM0-9604	5	2.35459208769	4.59165577905e-07	152.099967524
PM0-9605	5	2.35459208769	4.59165577905e-07	152.099967984
b4454	5	2.35459208769	4.59165577905e-07	152.099968443
b3539	5	2.35459208769	4.59165577905e-07	152.099968902
b3540	5	2.35459208769	0.0175130222093	152.117481924
b3541	5	2.35459208769	0.0217943765676	152.139276301
b3542	5	2.35459208769	0.00264527841017	152.141921579
b3543	5	2.35459208769	0.00106294824123	152.142984527
b3544	5	2.35459208769	0.489094927583	152.632079455
PM00546	5	2.35459208769	4.59165577905e-07	152.632079914
b3545	5	2.35459208769	4.59165577905e-07	152.632080373
PM00674	5	2.35459208769	4.59165577905e-07	152.632080832
b3546	5	2.35459208769	6.78247346803e-05	152.632148657
PM0-10506	5	2.35459208769	4.59165577905e-07	152.632149116
b3547	5	2.35459208769	4.59165577905e-07	152.632149575
PM0-46200	5	2.35459208769	4.59165577905e-07	152.632150035
b3548	5	2.35459208769	4.59165577905e-07	152.632150494
b3549	5	2.35459208769	4.59165577905e-07	152.632150953
b3550	5	2.35459208769	4.59165577905e-07	152.632151412
b3551	5	2.35459208769	4.59165577905e-07	152.632151871
b3552	5	2.35459208769	0.0120974288557	152.6442493
b3553	5	2.35459208769	0.115005692302	152.759254992
b3554	5	2.35459208769	4.59165577905e-07	152.759255452
PM0-10148	5	2.35459208769	4.59165577905e-07	152.759255911
PM0-8525	5	2.35459208769	4.59165577905e-07	152.75925637
b3555	5	2.35459208769	4.59165577905e-07	152.759256829
PM00452	5	2.35459208769	4.59165577905e-07	152.759257288
b3556	5	2.35459208769	0.0302056050942	152.789462893
b4647	5	2.35459208769	4.59165577905e-07	152.789463353
b4455	5	2.35459208769	4.59165577905e-07	152.789463812
b3557	5	2.35459208769	4.59165577905e-07	152.789464271
PM0-8642	5	2.35459208769	4.59165577905e-07	152.78946473
b3558	5	2.35459208769	4.59165577905e-07	152.789465189
b4614	5	2.35459208769	4.59165577905e-07	152.789465648
b3559	5	2.35459208769	0.373949109335	153.163414758
