level_0,Step05_predicted_from_W3110,Step09_predicted_from_Step05,Step10_predicted_from_Step09,Step10_predicted_from_W3110,iBAQ_Step04,iBAQ_Step05,iBAQ_Step09,iBAQ_Step10,iBAQ_W3110,$D_{KL}\left(\text{iBAQ_Step05}\|\text{Step05_predicted_from_W3110}\right)$,$D_{KL}\left(\text{iBAQ_Step10}\|\text{Step10_predicted_from_Step09}\right)$,$D_{KL}\left(\text{iBAQ_Step09}\|\text{Step09_predicted_from_Step05}\right)$,$D_{KL}\left(\text{iBAQ_Step10}\|\text{Step10_predicted_from_W3110}\right)$,$\log_2\left(\frac{\text{iBAQ_Step05}}{\text{Step05_predicted_from_W3110}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step10}}{\text{Step10_predicted_from_Step09}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step10}}{\text{Step10_predicted_from_W3110}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step09}}{\text{Step09_predicted_from_Step05}}\right)$
b1971,2.6837683741803858e-05,2.3131234469004192e-05,3.135083101822575e-05,2.716339172902004e-05,2.5661727443915615e-05,2.2977694537631255e-05,3.132427033099931e-05,2.7816833611481228e-05,2.6799151600576563e-05,2.919423241377584e-07,2.0712047831952714e-07,1.3047761377632808e-06,7.797314816273317e-09,-0.22402611067247058,4.471267594373286,4.678107648040122,5.02868086162211
b1973,0.002857976155778313,5.669307307875249e-05,0.0004864181539876726,0.0028926611781582598,0.0009315399167753622,5.631675721193195e-05,0.0004860060564441715,0.0010777370930017695,0.002853872823243428,0.0025805104265339833,0.0002660750042312621,0.0006149045877663397,0.0007508598733995861,-5.665285805576078,4.1726235855443115,1.6004952162993717,6.477178528771161
b2000,0.003038669829180504,0.003540024993597772,0.0034828187691899647,0.0030755477894172617,0.0022412049239968995,0.0035165271039670296,0.0034798680958907126,0.002895292317811027,0.003034307066129581,3.574564841802392e-05,5.2604177706947614e-05,5.140538738069612e-07,5.388649065648718e-06,0.21071141168153673,2.32085968167066,2.5002716915035883,2.481263849080853
b2001,2.813490615487496e-05,2.4156645606617466e-05,4.38801176338614e-05,2.8476357516415022e-05,2.4469170234887184e-05,2.3996299226764266e-05,4.38429420298318e-05,1.8976329552694195e-05,2.8094511529623166e-05,3.205222166690339e-07,8.996520673728979e-06,6.446474457936656e-06,1.7978813061803637e-06,-0.22954922452155202,3.603754912628185,4.227557686652627,5.302323529361882
b2032,3.7946910622562696e-06,8.64465610428884e-06,6.265443175341922e-06,3.840744261179302e-06,2.9009235002263075e-06,8.587274821557314e-06,6.260135039285862e-06,6.952283730292977e-06,3.789242843500452e-06,2.2204583989172044e-06,3.6342087200145276e-08,3.641276993474735e-07,1.0139737423259093e-06,1.1782179275091416,5.40771165154049,6.113742307106159,4.838451195294168
b2034,0.00011832312745989593,0.0001287637029736241,0.00014811192889515205,0.00011975912275877698,9.683134069407195e-05,0.00012790899847679374,0.00014798644722560387,0.00014529236535505233,0.0001181532453083063,3.782158414650374e-07,2.7009543488630766e-08,1.368346331588995e-06,2.546775035879061e-06,0.11238567160038393,3.8842620071899034,4.190814288030451,4.10459654695253
b2036,0.00043660700917447974,0.000337181019488163,0.000388710697889841,0.0004419057671273201,0.00035930287028848503,0.0003349428877247311,0.0003883813789233924,0.0004600370632707663,0.0004359801516893037,1.2879649591487788e-05,6.176860206010253e-06,3.7042835193860186e-06,3.6697623565640344e-07,-0.38242017356441593,3.6448120668384023,3.4597701209230083,3.680666287085592
b2039,0.0003124884602837484,0.0002781474154572978,0.00030081828619600093,0.0003162808884383721,0.0002544483251791621,0.0002763011354786784,0.0003005634304185894,0.00029831270029843,0.00031203980571283256,2.1812310235531235e-06,1.0463898198875138e-08,8.799261759250324e-07,5.203436614989996e-07,-0.1775614232406415,3.581451819302936,3.5091377054661343,3.702010936061855
b2040,0.00014160118181671787,0.0001329006222520265,0.00016836955216729542,0.0001433196846637097,0.00013288104334744546,0.00013201845781556548,0.00016822690806924992,0.0001861682836675855,0.0001413978782534072,3.318233020220508e-07,9.092703111862773e-07,4.3268258299573685e-06,5.848057660170315e-06,-0.10109365601768161,3.9472215711351186,4.179616062755315,4.187167673508734
b2041,0.0002224104673196028,0.00020482136906819522,0.00025368547460797555,0.00022510968929208774,0.00026161145198137087,0.00020346181089188678,0.0002534705501442177,0.00026055773221369513,0.00022209114201494405,8.311348243508678e-07,9.225428799960458e-08,5.367779434385569e-06,2.655051149634286e-06,-0.12846665649831657,3.6919853623279764,3.8643981236233564,3.973083224917179
